"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"1","4419","4408","None",2018-05-21,0,1,1,0,11,"yes"
"2","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,6,"yes"
"3","4424","4419","None",2018-05-06,0,0.67,3,0,19,"yes"
"4","4453","4419","None",2018-05-11,0,1,1,0,3,"yes"
"5","4408","4419","None",2018-05-21,0,0,1,0,3,"yes"
"6","4435","4419","None",2018-05-21,0,0,1,0,2,"yes"
"7","4448","4419","None",2018-05-25,0,0,1,0,6,"yes"
"8","4440","4424","None",2018-05-04,0,1,5,0,4,"yes"
"9","4449","4424","Mulberry_706",2018-05-09,0,0,2,0,8,"yes"
"10","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes"
"11","4440","4429","Ficus carica_733",2018-04-18,0,0.33,3,0,3,"yes"
"12","4449","4429","Mulberry_755",2018-05-05,0,0,2,0,2,"yes"
"13","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes"
"14","4446","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes"
"15","4439","4432","Mulberry_655",2018-06-11,0,1,1,0,11,"yes"
"16","4419","4435","None",2018-05-21,0,1,1,0,11,"no"
"17","4432","4439","Mulberry_655",2018-06-11,0,0,1,0,2,"yes"
"18","4455","4439","Mulberry_655",2018-06-07,0,0,1,0,3,"yes"
"19","4445","4440","None",2018-04-19,0,0.75,4,0,13,"yes"
"20","4444","4440","None",2018-04-18,0,0.83,6,0,7,"yes"
"21","4429","4440","Ficus carica_733",2018-04-18,0,0.67,3,0,3,"yes"
"22","4424","4440","None",2018-05-04,0,0,5,0,9,"yes"
"23","4449","4440","None",2018-05-05,0,0,3,0,2,"yes"
"24","4419","4440","None",2018-05-11,0,0,1,0,6,"yes"
"25","4408","4441","Mulberry_734",2018-05-22,0,0,1,0,2,"yes"
"26","4448","4441","Mulberry_734",2018-05-25,0,0,1,0,6,"yes"
"27","4445","4442","None",2018-04-19,0,0.5,2,0,13,"yes"
"28","4444","4442","None",2018-04-21,0.09,0,2,1,11,"yes"
