"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"1","4419","4408","None",2018-05-21,0,1,1,0,11,"no"
"2","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,6,"no"
"3","4424","4419","None",2018-05-06,0.04,0.67,3,1,24,"yes"
"4","4453","4419","None",2018-05-11,0,1,1,0,3,"no"
"5","4408","4419","None",2018-05-21,0,0,1,0,4,"no"
"6","4435","4419","None",2018-05-21,0,0,1,0,3,"yes"
"7","4448","4419","None",2018-05-25,0,0,1,0,6,"yes"
"8","4440","4424","None",2018-05-04,0,1,5,0,4,"no"
"9","4449","4424","Mulberry_706",2018-05-09,0,0,2,0,9,"no"
"10","4419","4424","None",2018-05-06,0,0.33,3,0,21,"no"
"11","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes"
"12","4440","4429","Ficus carica_733",2018-04-18,0.08,0.33,3,2,25,"yes"
"13","4449","4429","Mulberry_755",2018-05-05,0,0,2,0,15,"yes"
"14","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"no"
"15","4446","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"no"
"16","4439","4432","Mulberry_655",2018-06-11,0,1,1,0,14,"no"
"17","4419","4435","None",2018-05-21,0,1,1,0,11,"no"
"18","4432","4439","Mulberry_655",2018-06-11,0,0,1,0,2,"yes"
"19","4455","4439","Mulberry_655",2018-06-07,0,0,1,0,8,"yes"
"20","4446","4439","Mulberry_655",2018-06-07,0,0,1,0,4,"yes"
"21","4445","4440","None",2018-04-19,0.05,0.75,4,1,22,"yes"
"22","4444","4440","None",2018-04-18,0,0.83,6,0,22,"yes"
"23","4429","4440","Ficus carica_733",2018-04-18,0,0.67,3,0,6,"yes"
"24","4424","4440","None",2018-05-04,0,0,5,0,27,"yes"
"25","4449","4440","None",2018-05-05,0,0,3,0,15,"no"
"26","4453","4440","None",2018-05-04,0,0,1,0,14,"yes"
"27","4419","4440","None",2018-05-11,0,0,1,0,25,"yes"
"28","4408","4441","Mulberry_734",2018-05-22,0,0,1,0,2,"no"
"29","4448","4441","Mulberry_734",2018-05-25,0,0,1,0,6,"no"
"30","4445","4442","None",2018-04-19,0,0.5,2,0,22,"no"
"31","4444","4442","None",2018-04-21,0.06,0,2,1,16,"no"
"32","4442","4444","None",2018-04-21,0,1,2,0,7,"yes"
"33","4445","4444","None",2018-04-19,0.09,0.5,8,2,22,"yes"
"34","4440","4444","None",2018-04-18,0,0.17,6,0,25,"yes"
"35","4429","4444","Mulberry_755",2018-04-25,0,1,1,0,8,"no"
"36","4442","4445","None",2018-04-19,0.05,0.5,2,1,21,"no"
"37","4444","4445","None",2018-04-19,0.15,0.5,8,3,20,"no"
"38","4440","4445","None",2018-04-19,0.12,0.25,4,3,26,"no"
"39","4432","4446","Mulberry_655",2018-06-11,0,0,1,0,2,"no"
"40","4455","4446","Mulberry_655",2018-06-07,0,0,1,0,8,"no"
"41","4439","4446","Mulberry_655",2018-06-07,0,1,1,0,16,"no"
"42","4440","4449","None",2018-05-05,0,1,3,0,5,"yes"
"43","4429","4449","Mulberry_755",2018-05-05,0,1,2,0,5,"no"
"44","4424","4449","Mulberry_706",2018-05-09,0,1,2,0,7,"yes"
"45","4452","4449","Mulberry_734",2018-05-10,0,0,1,0,12,"yes"
"46","4453","4449","Mulberry_734",2018-05-05,0,1,1,0,14,"yes"
"47","4449","4452","Mulberry_734",2018-05-10,0,1,1,0,11,"no"
"48","4453","4452","Mulberry_734",2018-05-07,0.08,0.5,2,1,13,"yes"
"49","4440","4453","None",2018-05-04,0,1,1,0,4,"no"
"50","4449","4453","Mulberry_734",2018-05-05,0,0,1,0,15,"yes"
"51","4452","4453","Mulberry_734",2018-05-07,0,0.5,2,0,20,"yes"
"52","4419","4453","None",2018-05-11,0,0,1,0,25,"no"
"53","4440","4454","None",2018-05-04,0,1,2,0,4,"no"
"54","4424","4454","Mulberry_731",2018-05-04,0,0,1,0,27,"no"
"55","4432","4455","Mulberry_655",2018-06-11,0,0,1,0,2,"no"
"56","4446","4455","Mulberry_655",2018-06-07,0,1,1,0,4,"no"
"57","4439","4455","Mulberry_655",2018-06-07,0,1,1,0,16,"no"
"58","4579","4576","None",2018-03-14,0,0,1,0,14,"no"
"59","4577","4576","None",2018-03-17,0,0,2,0,48,"no"
"60","4579","4577","None",2018-03-16,0,1,3,0,3,"no"
"61","4577","4579","None",2018-03-16,0.04,0,3,2,55,"no"
"62","5017","4978","None",2018-06-30,0,1,1,0,5,"no"
"63","5018","4978","unknown_94",2018-06-28,0,0.5,2,0,23,"no"
"64","5013","4978","None",2018-06-30,0,1,1,0,27,"no"
"65","5016","4978","None",2018-06-30,0,1,1,0,27,"no"
"66","5019","4978","None",2018-06-30,0,1,1,0,13,"no"
"67","5022","5011","None",2018-07-02,0,1,1,0,4,"no"
"68","5018","5011","None",2018-07-03,0,1,1,0,4,"no"
"69","5015","5011","None",2018-07-03,0,1,2,0,11,"no"
"70","4978","5013","None",2018-06-30,0,0,1,0,11,"no"
"71","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,11,"yes"
"72","5022","5013","Ficus religiosa_19",2018-06-30,0.1,1,4,1,10,"no"
"73","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,23,"yes"
"74","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,29,"yes"
"75","5021","5013","Ficus religiosa_19",2018-06-30,0,1,1,0,22,"no"
"76","5015","5013","None",2018-06-29,0,0.4,5,0,23,"no"
"77","5019","5013","Ficus religiosa_17",2018-06-29,0.05,0.5,4,1,22,"yes"
"78","5017","5015","None",2018-06-29,0,0,1,0,2,"no"
"79","5022","5015","None",2018-06-28,0,0,3,0,18,"no"
"80","5011","5015","None",2018-07-03,0,0,2,0,4,"yes"
"81","5018","5015","Mulberry_768",2018-06-29,0.08,0.25,4,1,13,"yes"
"82","5013","5015","None",2018-06-29,0.03,0.6,5,1,37,"yes"
"83","5016","5015","None",2018-07-01,0,0.5,2,0,25,"yes"
"84","5021","5015","None",2018-06-28,0.04,0.33,3,1,26,"yes"
"85","5019","5015","Ficus carica_1045",2018-06-29,0,0,4,0,22,"no"
"86","4978","5016","None",2018-06-30,0,0,1,0,11,"no"
"87","5017","5016","unknown_331",2018-06-28,0,1,3,0,11,"no"
"88","5022","5016","unknown_1091",2018-06-28,0,1,3,0,18,"yes"
"89","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,23,"yes"
"90","5013","5016","Ficus religiosa_17",2018-06-29,0.05,0.5,6,2,37,"no"
"91","5021","5016","Ficus religiosa_19",2018-07-01,0,1,2,0,15,"yes"
"92","5015","5016","None",2018-07-01,0,0.5,2,0,18,"yes"
"93","5019","5016","Ficus religiosa_17",2018-06-29,0.09,0.5,4,2,22,"no"
"94","4978","5017","None",2018-06-30,0,0,1,0,11,"no"
"95","5022","5017","None",2018-06-29,0,1,1,0,14,"no"
"96","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,23,"no"
"97","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,36,"no"
"98","5016","5017","unknown_331",2018-06-28,0.03,0,3,1,36,"no"
"99","5015","5017","None",2018-06-29,0,1,1,0,23,"no"
"100","5019","5017","Mulberry_350",2018-06-28,0.04,0.25,4,1,23,"no"
"101","4978","5018","unknown_94",2018-06-28,0.05,0.5,2,1,19,"no"
"102","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,11,"no"
"103","5022","5018","Ficus religiosa_19",2018-06-28,0,0.86,7,0,18,"no"
"104","5011","5018","None",2018-07-03,0,0,1,0,4,"no"
"105","5013","5018","unknown_331",2018-06-28,0.03,0.2,5,1,36,"no"
"106","5016","5018","unknown_331",2018-06-28,0.03,0.2,5,1,36,"no"
"107","5021","5018","Ficus religiosa_19",2018-06-28,0,0.67,3,0,26,"no"
"108","5015","5018","Mulberry_768",2018-06-29,0.04,0.75,4,1,23,"no"
"109","5019","5018","unknown_331",2018-06-30,0,0.67,6,0,13,"no"
"110","4978","5019","None",2018-06-30,0,0,1,0,11,"no"
"111","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,11,"no"
"112","5022","5019","Ficus religiosa_19",2018-06-28,0,0.8,5,0,18,"yes"
"113","5018","5019","unknown_331",2018-06-30,0.2,0.33,6,3,15,"no"
"114","5013","5019","Ficus religiosa_17",2018-06-29,0.08,0.5,4,3,37,"no"
"115","5016","5019","Ficus religiosa_17",2018-06-29,0.03,0.5,4,1,29,"no"
"116","5021","5019","Ficus religiosa_19",2018-06-28,0,0.5,2,0,26,"no"
"117","5015","5019","Ficus carica_1045",2018-06-29,0,1,4,0,23,"no"
"118","5022","5021","Ficus religiosa_19",2018-06-28,0.06,0.33,3,1,18,"no"
"119","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,23,"no"
"120","5013","5021","Ficus religiosa_19",2018-06-30,0,0,1,0,27,"no"
"121","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,25,"no"
"122","5015","5021","None",2018-06-28,0,0.67,3,0,26,"no"
"123","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,23,"no"
"124","5017","5022","None",2018-06-29,0,0,1,0,2,"no"
"125","5011","5022","None",2018-07-02,0,0,1,0,8,"no"
"126","5018","5022","Ficus religiosa_19",2018-06-28,0.09,0.14,7,2,23,"no"
"127","5013","5022","Ficus religiosa_19",2018-06-30,0,0,4,0,27,"no"
"128","5016","5022","unknown_1091",2018-06-28,0.03,0,3,1,36,"no"
"129","5021","5022","Ficus religiosa_19",2018-06-28,0.04,0.67,3,1,26,"no"
"130","5015","5022","None",2018-06-28,0,1,3,0,26,"no"
"131","5019","5022","Ficus religiosa_19",2018-06-28,0.09,0.2,5,2,23,"no"
"132","5462","5056","Melia azedarach_437",2018-11-25,0,0.67,3,0,30,"yes"
"133","5471","5056","None",2018-11-25,0,0.5,2,0,24,"no"
"134","5473","5056","None",2018-11-23,0.02,0.6,5,1,42,"yes"
"135","5486","5056","None",2018-11-29,0.03,0.75,4,1,29,"yes"
"136","5483","5056","None",2018-11-25,0.03,0.75,4,1,38,"yes"
"137","5425","5056","Melia azedarach_437",2018-11-25,0,0.5,2,0,27,"yes"
"138","5589","5056","Melia azedarach_437",2018-11-25,0.2,0.33,9,3,15,"yes"
"139","5590","5058","None",2019-01-10,0.03,0.75,4,1,38,"yes"
"140","5679","5058","None",2019-02-08,0,0,1,0,23,"yes"
"141","5153","5150","None",2018-07-25,0,0,2,0,30,"no"
"142","5154","5150","None",2018-07-20,0,1,4,0,12,"no"
"143","5154","5153","Ficus carica_804",2018-07-19,0,0.86,7,0,12,"yes"
"144","5150","5153","None",2018-07-25,0,1,2,0,12,"yes"
"145","5153","5154","Ficus carica_804",2018-07-19,0.06,0.14,7,3,50,"yes"
"146","5150","5154","None",2018-07-20,0.14,0,4,3,21,"no"
"147","5150","5157","None",2018-07-24,0.07,0,2,1,14,"no"
"148","5462","5425","Melia azedarach_437",2018-11-25,0,0.75,4,0,30,"yes"
"149","5473","5425","None",2018-11-25,0,1,7,0,37,"yes"
"150","5597","5425","None",2018-11-25,0.02,1,2,1,47,"no"
"151","5486","5425","None",2018-12-09,0,0,1,0,12,"no"
"152","5056","5425","Melia azedarach_437",2018-11-25,0,0.5,2,0,14,"yes"
"153","5480","5425","None",2018-11-25,0,1,1,0,17,"no"
"154","5483","5425","None",2018-11-25,0.05,1,6,2,38,"yes"
"155","5476","5425","Ficus religiosa_19",2018-11-25,0,0.5,6,0,52,"yes"
"156","5589","5425","Melia azedarach_437",2018-11-25,0.07,0.33,3,1,15,"yes"
"157","5431","5429","None",2018-08-25,0,1,1,0,15,"no"
"158","5429","5431","None",2018-08-25,0,0,1,0,2,"no"
"159","5433","5431","None",2018-08-22,0,0.5,2,0,7,"no"
"160","5431","5433","None",2018-08-22,0,0.5,2,0,23,"no"
"161","5462","5458","None",2018-11-23,0,0.33,3,0,35,"no"
"162","5473","5458","Washingtonia_333",2018-11-23,0.07,0.4,5,3,42,"no"
"163","5597","5458","None",2018-11-23,0,1,3,0,53,"no"
"164","5486","5458","None",2018-12-07,0,0,1,0,19,"no"
"165","5056","5458","None",2018-11-25,0,0,2,0,14,"no"
"166","5477","5458","None",2018-11-24,0,1,1,0,26,"no"
"167","5483","5458","Melia azedarach_437",2018-11-23,0.07,0.33,6,3,45,"no"
"168","5425","5458","None",2018-11-25,0.04,0,3,1,27,"no"
"169","5476","5458","None",2018-12-04,0,0,1,0,7,"no"
"170","5589","5458","Melia azedarach_437",2018-11-23,0.06,0.33,3,1,16,"no"
"171","5458","5462","None",2018-11-23,0.07,0.67,3,1,15,"no"
"172","5473","5462","Ficus religiosa_19",2018-11-24,0,0.5,4,0,36,"no"
"173","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,5,"yes"
"174","5486","5462","1",2018-11-27,0,0.5,2,0,32,"no"
"175","5056","5462","Melia azedarach_437",2018-11-25,0.07,0.33,3,1,14,"no"
"176","5480","5462","None",2018-11-24,0,1,1,0,17,"no"
"177","5483","5462","None",2018-11-23,0.02,0.75,4,1,45,"no"
"178","5425","5462","Melia azedarach_437",2018-11-25,0,0.25,4,0,27,"no"
"179","5476","5462","None",2018-11-25,0.02,0.33,3,1,52,"no"
"180","5589","5462","Melia azedarach_437",2018-11-23,0.12,0.2,5,2,16,"no"
"181","5479","5471","Ficus carica_673",2018-11-22,0,1,1,0,3,"no"
"182","5486","5471","None",2018-11-29,0,0,1,0,29,"no"
"183","5056","5471","None",2018-11-25,0,0.5,2,0,14,"no"
"184","5476","5471","None",2018-11-25,0,0.25,4,0,52,"no"
"185","5589","5471","Ficus carica_673",2018-11-24,0,0,1,0,13,"no"
"186","5458","5473","Washingtonia_333",2018-11-23,0,0.6,5,0,15,"yes"
"187","5462","5473","Ficus religiosa_19",2018-11-24,0.03,0.5,4,1,35,"yes"
"188","5597","5473","None",2018-11-23,0.02,0.75,4,1,53,"yes"
"189","5486","5473","None",2018-11-29,0.03,0,3,1,29,"yes"
"190","5056","5473","None",2018-11-23,0,0.4,5,0,18,"no"
"191","5480","5473","Ficus religiosa_19",2018-11-25,0,0,1,0,17,"yes"
"192","5483","5473","None",2018-11-23,0.09,0.36,11,4,45,"yes"
"193","5425","5473","None",2018-11-25,0.11,0,7,3,27,"yes"
"194","5476","5473","None",2018-11-24,0.05,0.17,6,3,58,"yes"
"195","5589","5473","Melia azedarach_437",2018-11-27,0,0.33,3,0,14,"yes"
"196","5462","5476","None",2018-11-25,0.03,0.67,3,1,30,"yes"
"197","5471","5476","None",2018-11-25,0,0.75,4,0,24,"yes"
"198","5473","5476","None",2018-11-24,0.03,0.83,6,1,36,"yes"
"199","5597","5476","None",2018-11-25,0.02,1,2,1,47,"yes"
