"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"2","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"3","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"4","5018","5015","Mulberry_768",2018-06-29,1,0.25,4,1,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"5","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","Ficus religiosa"
"6","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"7","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"8","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"9","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"10","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,1,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"11","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,1,"no","Ficus religiosa"
"12","5016","5017","unknown_331",2018-06-28,0,0,3,0,2,"no","Ficus religiosa"
"13","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"14","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"15","5013","5018","unknown_331",2018-06-28,1,0.2,5,1,1,"yes","Ficus religiosa"
"16","5016","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","Ficus religiosa"
"17","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"18","5018","5019","unknown_331",2018-06-30,1,0.33,6,1,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"19","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","Ficus religiosa"
"20","5016","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","Ficus religiosa"
"21","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"22","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"23","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"24","5018","5022","Ficus religiosa_19",2018-06-28,1,0.14,7,1,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"25","5016","5022","unknown_1091",2018-06-28,0.5,0,3,1,2,"yes","Ficus religiosa"
"26","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"27","5473","5056","None",2018-11-23,1,0.6,5,1,1,"yes","Ficus religiosa"
"28","5483","5056","None",2018-11-25,0,0.75,4,0,1,"yes","Ficus religiosa"
"29","5150","5154","None",2018-07-20,1,0,4,1,1,"yes","Ficus sycomorus"
"30","5473","5425","None",2018-11-25,0,1,7,0,1,"yes","Ficus religiosa"
"31","5483","5425","None",2018-11-25,1,1,6,1,1,"yes","Ficus religiosa"
"32","5473","5462","Ficus religiosa_19",2018-11-24,0,0.5,4,0,1,"yes","Ficus religiosa"
"33","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"34","5483","5462","None",2018-11-23,0,0.75,4,0,1,"yes","Ficus religiosa"
"35","5597","5473","None",2018-11-23,1,0.75,4,1,1,"yes","Ficus religiosa"
"36","5483","5473","None",2018-11-23,0,0.36,11,0,1,"yes","Ficus religiosa"
"37","5476","5473","None",2018-11-24,1,0.17,6,1,1,"yes","Ficus religiosa"
"38","5473","5476","None",2018-11-24,0,0.83,6,0,1,"yes","Ficus religiosa"
"39","5486","5476","unknown_95",2018-12-05,0,0.33,3,0,1,"yes","Ficus religiosa"
"40","5483","5476","None",2018-11-25,1,0.75,4,1,1,"yes","Ficus religiosa"
"41","5462","5479","None",2018-11-23,0,0,3,0,1,"yes","Ficus religiosa"
"42","5473","5479","None",2018-11-24,0,0.33,3,0,1,"yes","Ficus religiosa"
"43","5597","5479","None",2018-11-22,0,0.33,3,0,1,"yes","Ficus religiosa"
"44","5480","5479","None",2018-11-23,0,0.25,4,0,1,"yes","Ficus religiosa"
"45","5483","5479","None",2018-11-23,0,0,2,0,1,"yes","Ficus religiosa"
"46","5473","5480","Ficus religiosa_19",2018-11-25,0,1,1,0,1,"yes","Ficus religiosa"
"47","5483","5480","None",2018-11-24,0.5,1,1,1,2,"yes","Ficus religiosa"
"48","5462","5483","None",2018-11-23,1,0.25,4,1,1,"yes","Ficus religiosa"
"49","5473","5483","None",2018-11-23,0,0.64,11,0,1,"yes","Ficus religiosa"
"50","5597","5483","Persimmon_32",2018-11-23,1,0.5,6,1,1,"yes","Ficus religiosa"
"51","5473","5486","None",2018-11-29,0,1,3,0,1,"yes","Ficus religiosa"
"52","5480","5486","None",2018-11-23,0,0.5,4,0,1,"yes","Ficus religiosa"
"53","5483","5486","None",2018-11-23,0,0.83,6,0,1,"yes","Ficus religiosa"
"54","5462","5589","Melia azedarach_437",2018-11-23,0,0.8,5,0,1,"yes","Ficus religiosa"
"55","5483","5589","Melia azedarach_437",2018-11-23,0,0.4,5,0,1,"yes","Ficus religiosa"
"56","5473","5597","None",2018-11-23,0,0.25,4,0,1,"yes","Ficus religiosa"
"57","5486","5597","None",2018-12-07,0,0,2,0,1,"yes","Ficus religiosa"
"58","5483","5597","Persimmon_32",2018-11-23,0,0.5,6,0,1,"yes","Ficus religiosa"
"59","5751","5599","None",2019-09-25,0,0.33,3,0,1,"yes","Ficus religiosa"
"60","5685","5599","None",2019-09-25,0,0.5,2,0,1,"yes","Ficus religiosa"
"61","5745","5667","None",2019-11-06,0,0.38,8,0,1,"yes","Ficus religiosa"
"62","6026","5667","None",2019-11-06,0,0.71,7,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"63","5761","5667","None",2019-12-06,0,1,1,0,1,"yes","Ficus religiosa"
"64","5778","5667","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"65","5744","5667","unknown_3641",2019-11-06,0,0.36,11,0,2,"yes","Ficus religiosa"
"66","5764","5685","None",2019-09-24,0,0.8,10,0,1,"yes","Ficus religiosa"
"67","5751","5685","None",2019-09-24,0,0.83,6,0,1,"yes","Ficus religiosa"
"68","5745","5685","None",2019-09-24,0,0.36,11,0,1,"yes","Ficus religiosa"
"69","5743","5685","None",2019-09-24,0,0.45,11,0,1,"yes","Ficus religiosa"
"70","5737","5720","None",2019-06-30,1,0,2,1,1,"yes","Ficus religiosa"
"71","5779","5727","Ficus microcarpa_37",2019-06-09,0,0.67,3,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"72","6123","5737","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"73","5685","5743","None",2019-09-24,0,0.55,11,0,1,"yes","Ficus religiosa"
"74","5771","5744","None",2019-11-06,0,0.5,2,0,1,"yes","Ficus sycomorus"
"75","6026","5744","None",2019-11-08,1,0.8,5,1,1,"yes","Ficus religiosa"
"76","5667","5744","unknown_3641",2019-11-06,0,0.64,11,0,1,"yes","Ficus religiosa"
"77","5685","5745","None",2019-09-24,0,0.64,11,0,1,"yes","Ficus religiosa"
"78","6026","5745","None",2019-11-06,0,0.6,5,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"79","5667","5745","None",2019-11-06,0,0.62,8,0,1,"yes","Ficus religiosa"
"80","5761","5745","unknown_3242",2019-12-09,0,0.17,6,0,1,"yes","Ficus religiosa"
"81","5764","5748","Mulberry_755",2019-09-07,0,0.6,5,0,1,"yes","Ficus religiosa"
"82","5685","5748","Mulberry_378",2019-09-25,1,0,5,1,1,"yes","Ficus religiosa"
"83","6181","5749","Loquat_443",2019-11-06,0,0.25,4,0,1,"yes","Ficus religiosa"
"84","5781","5749","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"85","6265","5749","None",2019-11-18,0,0,2,0,1,"no","Ficus religiosa"
"86","5685","5751","None",2019-09-24,0,0.17,6,0,1,"yes","Ficus religiosa"
"87","5771","5751","None",2019-11-06,0,0,2,0,1,"yes","Ficus sycomorus"
"88","6026","5751","None",2019-11-06,0,0.14,7,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"89","5667","5751","None",2019-11-07,0,0.14,7,0,1,"yes","Ficus religiosa"
"90","5777","5760","Washingtonia_428",2019-06-03,0,0.67,3,0,3,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"91","6123","5760","unknown_3311",2019-07-12,0,0,2,0,1,"yes","Ficus religiosa"
"92","6181","5761","None",2019-11-10,0,0,1,0,1,"yes","Ficus religiosa"
"93","6265","5761","unknown_1435",2019-11-16,0,0.33,9,0,2,"yes","Ficus religiosa"
"94","5744","5761","None",2019-11-11,0,0.57,7,0,1,"yes","Ficus religiosa"
"95","5742","5764","Ficus religiosa_20",2019-07-04,0.5,0,5,1,2,"yes","Ficus religiosa"
"96","5743","5764","None",2019-09-23,0,0.33,3,0,1,"yes","Ficus religiosa"
"97","5685","5764","None",2019-09-24,0,0.2,10,0,1,"yes","Ficus religiosa"
"98","6181","5771","None",2019-11-07,0,0.5,2,0,1,"yes","Ficus religiosa"
"99","5744","5771","None",2019-11-06,0,0.5,2,0,2,"yes","Ficus religiosa"
"100","5779","5777","None",2019-06-09,0,0,1,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"101","6123","5777","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"102","6245","5778","None",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"103","5667","5778","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"104","6251","5778","None",2019-11-28,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"105","6246","5778","Ficus carica_414",2019-11-14,0.25,0.56,9,1,4,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"106","5777","5779","None",2019-06-09,1,1,1,1,1,"yes","Ficus microcarpa"
"107","5749","5781","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","Ficus religiosa"
"108","6267","5781","Mulberry_288",2019-11-11,0,0.2,5,0,1,"yes","Ficus microcarpa"
