"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4419","4408","None",2018-05-21,0,1,1,0,7,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"2","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"3","4424","4419","None",2018-05-06,0,0.67,3,0,16,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"", ""Peach"")"
"4","4453","4419","None",2018-05-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"")"
"5","4408","4419","None",2018-05-21,0,0,1,0,2,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"")"
"6","4435","4419","None",2018-05-21,0,0,1,0,2,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"")"
"7","4448","4419","None",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"8","4440","4424","None",2018-05-04,0,1,5,0,4,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"")"
"9","4454","4424","Mulberry_731",2018-05-04,0,1,1,0,1,"yes","c(""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"")"
"10","4449","4424","Mulberry_706",2018-05-09,0,0,2,0,6,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"11","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes","c(""Ficus carica"", ""Carob"", ""Ficus benjamina"", ""Mulberry"", ""UK"", ""Palm"", ""Annona"", ""Loquat"")"
"12","4440","4429","Ficus carica_733",2018-04-18,0,0.33,3,0,3,"yes","c(""Mulberry"", ""Ficus carica"", ""Carob"", ""Plum"", ""UK"", ""Avocado"")"
"13","4449","4429","Mulberry_755",2018-05-05,0,0,2,0,1,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"14","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"", ""Loquat"")"
"15","4439","4432","Mulberry_655",2018-06-11,0,1,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"16","4419","4435","None",2018-05-21,0,1,1,0,7,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"17","4432","4439","Mulberry_655",2018-06-11,0,0,1,0,2,"yes","Mulberry"
